Name,Yield kilos per hectare,High Yield (kg/hectare),Yield lbs per acre,High Yield (lb/acre),Alpha Acids,Alpha Acid High,Beta Acids,Beta Acid High,Cohumulone % of alpha acids,Cohumulone % (high),Total Oils Mls per 100 grams dried hops,Total Oils High (Mls),Myrcene as % of other oils,Myrcene high,Caryophyllene as % of other oils,Caryophyllene high,Humulene as % of other oils,Humulene high,Farnesene as % of other oils,Storage % alpha acids remaining after 6 months storage at 20 C,Storage % alpha acids high,Possible Substitutions
AMARILLO,1350,1800,1200,1600,8,11,6,7,21,24,1.5,1.9,68,70,2,4,9,11,3, Good ,,
AHTANUM,1800,2020,1600,1800,5.7,6.3,5,6.5,30,35,0.8,1.2,50,55,9,12,16,20,0, Fair, Good, Cascade
BRAVO,3000,3470,2700,3100,14,17,3,5,29,34,1.6,2.4,25,50,10,12,18,20, < 1.0,60,70, ctz Magnum Nugget
APOLLO,2900,3350,2600,3000,15,19,5.5,8,24,28,1.5,2.5,30,55,14,20,20,35, < 1.0,80,90, ctz Magnum Millenium Nugget Warrior 
BREWER'S GOLD US,2750,2750,2400,2400,8,10,3.5,4.5,40,48,2,2.4,37,40,7,7.5,29,31, < 1.0, Poor, Poor, UK Brewers Gold Galena 
CASCADE,1792,2240,1600,2000,4.5,7,4.8,7,33,40,0.7,1.4,45,60,3.5,5.5,8,13,5,48,52, Centennial Amarillo
CASHMERE,2000,2200,1800,2000,7.7,9.1,6.4,7.1,22,24,1.2,1.4,39,42,11.5,13,26,29, < 1.0,75,,
CALYPSO ,2800,3370,2500,3000,12,14,5,6,40,42,1.6,2.5,30,45,9,15,20,35, < 1.0,65,70, Galena 
CENTENNIAL,1700,2000,1500,1750,9.5,11.5,3.5,4.5,29,30,1.5,2.5,45,55,5,8,10,18, < 1.0,60,65, Cascade Amarillo
CHELAN ,2240,2688,2000,2400,12,14.5,8.5,9.8,33,35,1.5,1.9,45,55,9,12,12,15, < 1.0,80,80, Galena 
CHINOOK,1904,2352,1700,2100,12,14,3,4,29,35,1.7,2.7,35,40,9,11,18,23, < 1.0,68,68, Nugget ctz Galena
CITRA,1600,1800,1400,1600,11,13,3.5,4.5,22,24,2.2,2.8,60,65,6,8,11,13,0,75,,
CLUSTER,1904,2352,1700,2100,5.5,8.5,4.5,5.5,37,43,0.4,0.8,45,55,6,7,15,18, < 1.0,84,84, Galena
COLUMBUS ,2800,3249,2500,2900,14.5,16.5,4,5,28,32,2,3,40,50,9,11,12,18, < 1.0,52,52, Galena Chinook Nugget
COMET,2100,2300,1900,2100,9,11,4,6,38,42,1,1.5,60,65,10,15,1,1.5, < 1.0,70,70, Galena Summit 
CRYSTAL,1350,2250,1200,2000,3.5,5.5,4.5,6.5,20,26,1,1.5,40,65,4,8,18,24, < 1.0,50,50, Mt. Hood Liberty 
DELTA,1600,2000,1400,1800,5.5,7,5.5,7,22,24,0.5,1.1,25,40,9,15,30,40, < 1.0,80,90, Fuggle WillametteEL 
DORADO,2650,2880,2300,2500,14,16,7,8,28,33,2.5,2.8,55,60,6,8,10,15, 0.1.0,60,75,
FUGGLE US,1200,1800,1070,1600,4,5.5,1.5,2,25,32,0.7,1.2,40,50,6,10,20,26,4.5,60,65, English Fuggle Styrian Golding Willamette
GALENA,1904,2352,1700,2100,11.5,13.5,7.2,8.7,36,40,0.9,1.3,55,60,4.5,5.5,10,13, < 1.0,79,79, Nugget ctz
GLACIER,2750,2900,2400,2600,5.5,5.5,8.2,8.2,11,13,0.7,1.6,33,62,6.5,10,24,36, < 1.0,72,72, Willamette
GOLDING US,1344,1680,1200,1500,4,6,2,3,23,28,0.7,1,25,35,13,16,35,45, < 1.0,66,66,East Kent Golding Willamette  Fuggle Styrian Golding
HALLERTAU US,900,1400,800,1250,3.5,5.5,3.5,5.5,18,24,0.6,1,35,44,10,12,30,38, < 1.0,52,58,German Hallertau mf Hallertau Tradition  Liberty Mt. Hood
HORIZON,2100,2300,1900,2000,11,13,6.5,8.5,16,19,1.5,2,55,65,7.5,9,11,13,3,Average,Good,Magnum
LIBERTY,1100,1900,1000,1700,3,5,3,4,24,30,0.6,1.2,20,40,9,12,35,40, < 1.0,35,40, Hallertau Mt. Hood
MAGNUM US,1900,2000,1340,1700,12,14,4.5,6,24,28,1.9,2.3,30,35,8,12,35,40, < 1.0, Very Good, Very Good, German Magnum ctz Nugget
MOSAIC,2017,2466,1800,2200,11.5,13.5,3.2,3.9,24,26,1,1.5,47,53,5.2,7.8,13,16, < 1.0,75,,
MILLENNIUM,2464,2913,2200,2600,14.5,16.5,4.3,5.3,28,32,1.8,2.2,30,40,9,12,23,27, < 1.0,76,76, Nugget ctz
RAINIER,2000,2200,1800,2000,8,10.8,7.6,9.3,21,23,1.8,2.7,61,71,4.6,6.6,16,21, < 1.0,75,,
HOOD,1624,1960,1450,1750,4,7,5,8,21,23,1.2,1.7,30,40,13,16,30,38, < 1.0,55,55, Strisselspalt Hersbrucker Hallertauer
NEWPORT,2300,2840,1990,2550,13.5,17,7.2,9.1,36,38,1.6,3.4,47,54,4.5,7,9,14, < 1.0,60,60, Magnum Galena Nugget
BREWER US,1200,1600,1000,1400,8,10,3,5,20,30,1.5,2,50,60,5,10,20,30, < 1.0,70,85, German Northern Brewer Chinook Galena Magnum
NUGGET,2016,2464,1800,2200,11.5,14,4.2,5.8,22,26,1.8,2.2,48,55,7,9,16,19, < 1.0,76,76, Galena ctz Magnum
PALISADE,2400,3400,2200,3000,5.5,9.5,6,8,24,29,1.4,1.6,9,10,16,18,19,22,0, Good, Good, Willamette
PERLE US,1300,1800,1160,1600,7,9.5,4,5,27,32,0.7,0.9,45,55,10,12,28,33, < 1.0,80,85, German Perle Northern Brewer
SAAZ US,650,1150,600,1000,3,4.5,3,4.5,24,28,0.5,1,25,30,9,11,35,40,11,45,55, Czech Saaz Polish Lublin Sterling
SIMCOE,1800,2020,1600,1800,12,14,4,5,15,20,2,2.5,60,65,5,8,10,15,0, Good , Good , Summit Magnum
SANTIAM,1600,2350,1400,2100,5,7,6,8,22,24,1.3,1.5,27,36,7,8,23,26,14.5, Average,16, Tettnang Spalt Spalt Select
SORACHI ACE,1800,2000,1600,1800,12,13,8.8,9.9,23,27,2.8,3.2,68,72,3.5,6.4,15,18,1.166666667,65,,
STERLING,1650,1860,1400,1600,6,9,4,6,22,28,1.3,1.9,44,48,5,7,19,23,14,60,75, Saaz Polish Lublin
GALENA,2800,3100,2500,2800,13,16,8,10,35,40,1.5,2.5,45,60,6,14,19,24, < 1.0,75,80, Galena
SUMMIT,2500,3100,2200,2700,16,18,4,6,26,33,1.5,2.5,30,50,10,15,15,25, < 1.0,85,85, ctz Warrior Simcoe
TETTNANG US,1000,1500,900,1340,4,5,3,4,20,25,0.4,0.8,36,45,6,7,18,23,9,55,60, German Tettnang Spalt Spalt Select Santiam
TAHOMA,2000,2200,1800,2000,7.2,8.2,8.5,9.5,15,17,1,2,67,72,2.9,3.5,9,11, < 1.0,75,,
VANGUARD,1500,1650,1350,1475,5.5,6,6,7,14,16,0.9,1.2,20,25,12,14,45,50, < 1.0,75,80, Hallertau Hersbrucker Mt. Hood Liberty
ULTRA,1800,2000,1600,1800,2,3.5,3,4.5,23,38,0.5,1,15,25,10,15,35,50, < 1.0, Good , Very Good, Mt. Hood Liberty Crystal
WILLAMETTE,1500,1900,1300,1700,4,6,3.5,4.5,30,35,1,1.5,30,40,6.5,8.2,20,27,5.5,60,65, Fuggle Tettnang Styrian Golding
WARRIOR,2350,2800,2100,2500,15,18,4.3,5.3,22,26,1.3,1.7,40,50,9,11,15,19, < 1.0,76,76, Nugget Columbus Magnum
